id,name,domain_id,domain_name,purpose,aliases,related_domains
FW-D06-006,Ontology Framework,D06,Conhecimento e Busca Corporativa,"Define conceitos, propriedades e relações semânticas de um domínio.",,D05; D09; D12
FW-D06-007,FAIR Principles,D06,Conhecimento e Busca Corporativa,"Orienta dados e conhecimento para serem localizáveis, acessíveis, interoperáveis e reutilizáveis.",,D05; D09; D12
FW-D06-008,RAG Evaluation Framework,D06,Conhecimento e Busca Corporativa,"Avalia recuperação, relevância, groundedness e qualidade de respostas baseadas em conhecimento.",,D05; D09; D12
FW-D07-001,5W2H,D07,Produtividade e Execução,"Estrutura execução por What, Why, Where, When, Who, How e How Much.",5W2H; Five Ws Two Hs,D01; D08; D22
FW-D07-002,Critical Path Method,D07,Produtividade e Execução,Identifica atividades que determinam a duração mínima de um projeto.,CPM,D01; D08; D22
FW-D07-003,Critical Chain,D07,Produtividade e Execução,Planeja execução considerando dependências e restrições reais de recursos.,,D01; D08; D22
FW-D07-004,Kanban,D07,Produtividade e Execução,"Gerencia fluxo visualmente, limita WIP e evidencia gargalos.",,D01; D08; D22
FW-D07-005,Scrum,D07,Produtividade e Execução,"Estrutura desenvolvimento iterativo por sprints, papéis, eventos e backlog.",,D01; D08; D22
FW-D07-006,WIP Limits,D07,Produtividade e Execução,Limita trabalho simultâneo para aumentar fluxo e reduzir dispersão.,,D01; D08; D22
FW-D07-007,Eisenhower Matrix,D07,Produtividade e Execução,Classifica atividades segundo importância e urgência.,,D01; D08; D22
FW-D07-008,Impact × Urgency,D07,Produtividade e Execução,Prioriza tarefas combinando impacto esperado e urgência operacional.,,D01; D08; D22
FW-D07-009,Impact × Effort,D07,Produtividade e Execução,Prioriza iniciativas comparando valor esperado e esforço necessário.,,D01; D08; D22
FW-D07-010,Theory of Constraints,D07,Produtividade e Execução,Identifica e explora a principal restrição do sistema.,TOC,D01; D08; D22
FW-D07-011,OODA Loop,D07,Produtividade e Execução,"Organiza ciclos rápidos de observar, orientar, decidir e agir.",,D01; D08; D22
FW-D07-012,Timeboxing,D07,Produtividade e Execução,Reserva blocos finitos de tempo para execução de atividades específicas.,,D01; D08; D22
FW-D08-001,PDCA,D08,Operações,"Estrutura melhoria contínua em planejar, executar, verificar e agir.",,D07; D02; D12
FW-D08-002,DMAIC,D08,Operações,"Orienta melhorias por definir, medir, analisar, melhorar e controlar.",,D07; D02; D12
FW-D08-003,SIPOC,D08,Operações,"Mapeia fornecedores, entradas, processo, saídas e clientes.",,D07; D02; D12
FW-D08-004,Lean,D08,Operações,Busca eliminar desperdícios e maximizar fluxo de valor.,,D07; D02; D12
FW-D08-005,Six Sigma,D08,Operações,Reduz variação e defeitos por análise quantitativa.,,D07; D02; D12
FW-D08-006,Kaizen,D08,Operações,Promove melhoria contínua incremental.,,D07; D02; D12
FW-D08-007,Value Stream Mapping,D08,Operações,"Mapeia fluxo de materiais, informação, tempos e desperdícios.",VSM,D07; D02; D12
FW-D08-008,5S,D08,Operações,"Estrutura organização, padronização, disciplina e manutenção do ambiente.",,D07; D02; D12
FW-D08-009,Pareto 80/20,D08,Operações,Prioriza poucas causas responsáveis pela maior parte dos efeitos.,,D07; D02; D12
FW-D08-010,Ishikawa / Fishbone,D08,Operações,Organiza causas potenciais de um problema por categorias.,,D07; D02; D12
FW-D08-011,Root Cause Analysis,D08,Operações,Busca causas fundamentais em vez de tratar apenas sintomas.,,D07; D02; D12
FW-D08-012,5 Whys,D08,Operações,Aprofunda sucessivamente relações causais até localizar causas fundamentais.,Five Whys; 5 Porquês,D07; D02; D12
FW-D08-013,A3 Problem Solving,D08,Operações,"Consolida problema, análise, contramedidas e acompanhamento em formato enxuto.",,D07; D02; D12
FW-D08-014,FMEA,D08,Operações,"Avalia modos de falha por severidade, ocorrência e capacidade de detecção.",,D07; D02; D12
FW-D08-015,Poka-Yoke,D08,Operações,Projeta processos para impedir ou detectar erros antes que produzam defeitos.,,D07; D02; D12
FW-D09-001,Research Question Framework,D09,Pesquisa e Inovação,"Estrutura perguntas pesquisáveis, delimitadas e verificáveis.",,D06; D10; D13
FW-D09-002,PICO/PICOT,D09,Pesquisa e Inovação,"Estrutura perguntas por população, intervenção, comparação, resultado e tempo.",,D06; D10; D13
FW-D09-003,SPIDER,D09,Pesquisa e Inovação,"Estrutura pesquisas qualitativas por amostra, fenômeno, desenho, avaliação e tipo de pesquisa.",,D06; D10; D13
FW-D09-004,FINER,D09,Pesquisa e Inovação,"Avalia se uma pergunta é factível, interessante, nova, ética e relevante.",,D06; D10; D13
FW-D09-005,Evidence Pyramid,D09,Pesquisa e Inovação,Organiza tipos de evidência segundo desenho e força metodológica.,,D06; D10; D13
FW-D09-006,Systematic Review,D09,Pesquisa e Inovação,"Estrutura busca, seleção, avaliação e síntese sistemática de evidências.",,D06; D10; D13
FW-D09-007,Literature Mapping,D09,Pesquisa e Inovação,"Mapeia autores, temas, lacunas, métodos e evidências disponíveis.",,D06; D10; D13
FW-D09-008,Benchmarking,D09,Pesquisa e Inovação,"Compara desempenho, processos ou práticas contra referências externas.",,D06; D10; D13
FW-D09-009,Competitive Benchmarking,D09,Pesquisa e Inovação,Compara atributos e capacidades diretamente com concorrentes.,,D06; D10; D13
FW-D09-010,Gap Analysis,D09,Pesquisa e Inovação,Compara estado atual ao estado desejado para identificar lacunas.,,D06; D10; D13
FW-D09-011,Hypothesis Matrix,D09,Pesquisa e Inovação,"Registra hipóteses, importância, incerteza e estratégia de validação.",,D06; D10; D13
FW-D09-012,Assumption Mapping,D09,Pesquisa e Inovação,Classifica premissas segundo criticidade e grau de evidência.,,D06; D10; D13
FW-D09-013,Evidence Matrix,D09,Pesquisa e Inovação,"Relaciona afirmações, fontes, força da evidência e lacunas.",,D06; D10; D13
FW-D09-014,Triangulation,D09,Pesquisa e Inovação,"Valida conclusões comparando múltiplas fontes, métodos ou perspectivas.",,D06; D10; D13
FW-D10-001,Product-Market Fit,D10,Gestão de Produto,Avalia se um produto resolve necessidade relevante para mercado capaz de sustentá-lo.,PMF,D09; D11; D13; D03
FW-D10-002,Problem-Solution Fit,D10,Gestão de Produto,Verifica se problema relevante e solução proposta demonstram aderência.,PSF,D09; D11; D13; D03
FW-D10-003,Founder-Market Fit,D10,Gestão de Produto,Analisa aderência entre capacidades do time fundador e mercado escolhido.,,D09; D11; D13; D03
FW-D10-004,Market-Solution Fit,D10,Gestão de Produto,"Avalia compatibilidade entre solução, segmento, necessidade e condições de mercado.",,D09; D11; D13; D03
FW-D10-005,Business Model Canvas,D10,Gestão de Produto,"Representa proposta de valor, clientes, canais, recursos, atividades, parceiros, receitas e custos.",BMC,D09; D11; D13; D03
FW-D10-006,Lean Canvas,D10,Gestão de Produto,"Adapta modelagem de negócios para problemas, soluções, métricas e vantagens.",,D09; D11; D13; D03
FW-D10-007,Value Proposition Canvas,D10,Gestão de Produto,"Relaciona jobs, dores e ganhos do cliente à proposta de valor.",VPC,D09; D11; D13; D03
FW-D10-008,Product Vision Board,D10,Gestão de Produto,"Consolida visão, usuários, necessidades, produto e objetivos de negócio.",,D09; D11; D13; D03
FW-D10-009,Product Strategy Stack,D10,Gestão de Produto,"Conecta missão, estratégia empresarial, produto, roadmap e objetivos.",,D09; D11; D13; D03
FW-D10-010,Product Operating Model,D10,Gestão de Produto,"Define como discovery, delivery, decisões e equipes operam produto continuamente.",,D09; D11; D13; D03
FW-D10-011,Product Discovery,D10,Gestão de Produto,"Reduz incerteza sobre problema, solução, usabilidade e viabilidade.",,D09; D11; D13; D03
FW-D10-012,Continuous Discovery,D10,Gestão de Produto,Incorpora pesquisa e validação contínuas ao desenvolvimento do produto.,,D09; D11; D13; D03
FW-D10-013,Opportunity Solution Tree,D10,Gestão de Produto,"Conecta outcomes a oportunidades, soluções e experimentos.",OST,D09; D11; D13; D03
FW-D10-014,Jobs to Be Done,D10,Gestão de Produto,Analisa o progresso que uma pessoa busca ao contratar uma solução.,JTBD,D09; D11; D13; D03
FW-D10-015,Job Map,D10,Gestão de Produto,Decompõe sistematicamente as etapas necessárias para executar um job.,,D09; D11; D13; D03
FW-D10-016,Outcome-Driven Innovation,D10,Gestão de Produto,Prioriza oportunidades segundo resultados desejados e grau de satisfação.,,D09; D11; D13; D03
FW-D10-017,Kano Model,D10,Gestão de Produto,"Classifica atributos em básicos, desempenho, encantadores e indiferentes.",,D09; D11; D13; D03
FW-D10-018,RICE,D10,Gestão de Produto,"Prioriza por alcance, impacto, confiança e esforço.",,D09; D11; D13; D03
FW-D10-019,ICE,D10,Gestão de Produto,"Prioriza por impacto, confiança e facilidade.",,D09; D11; D13; D03
FW-D10-020,MoSCoW,D10,Gestão de Produto,"Classifica requisitos em Must, Should, Could e Won’t.",,D09; D11; D13; D03
FW-D10-021,WSJF,D10,Gestão de Produto,Prioriza trabalho considerando custo do atraso dividido pelo tamanho do trabalho.,,D09; D11; D13; D03
FW-D10-022,Value × Complexity,D10,Gestão de Produto,Compara valor esperado com complexidade de implementação.,,D09; D11; D13; D03
FW-D10-023,Cost of Delay,D10,Gestão de Produto,Quantifica impacto econômico de postergar uma entrega.,,D09; D11; D13; D03
FW-D10-024,Buy vs. Build,D10,Gestão de Produto,"Estrutura decisão entre adquirir, integrar ou desenvolver capacidade internamente.",,D09; D11; D13; D03
FW-D10-025,Build–Measure–Learn,D10,Gestão de Produto,"Organiza ciclos de construção, medição e aprendizado.",,D09; D11; D13; D03
FW-D10-026,MVP,D10,Gestão de Produto,Define menor solução suficiente para testar hipótese relevante.,,D09; D11; D13; D03
FW-D10-027,Minimum Lovable Product,D10,Gestão de Produto,Busca versão mínima que também gere percepção positiva de valor.,MLP,D09; D11; D13; D03
FW-D10-028,Riskiest Assumption Test,D10,Gestão de Produto,Testa primeiro a premissa cujo erro mais ameaça a iniciativa.,RAT,D09; D11; D13; D03
FW-D10-029,Pretotyping,D10,Gestão de Produto,Valida demanda e comportamento antes de construir efetivamente a solução.,,D09; D11; D13; D03
FW-D11-001,Design Thinking,D11,Experiência e Projeto,"Estrutura entendimento humano, ideação, prototipação e testes.",,D10; D15; D12
FW-D11-002,Human-Centered Design,D11,Experiência e Projeto,"Desenvolve soluções a partir das necessidades, capacidades e contexto das pessoas.",,D10; D15; D12
FW-D11-003,Double Diamond,D11,Experiência e Projeto,"Organiza descoberta, definição, desenvolvimento e entrega.",,D10; D15; D12
FW-D11-004,Design Sprint,D11,Experiência e Projeto,"Condensa definição de problema, solução, protótipo e validação em ciclo curto.",,D10; D15; D12
FW-D11-005,Atomic Design,D11,Experiência e Projeto,"Estrutura interfaces em átomos, moléculas, organismos, templates e páginas.",,D10; D15; D12
FW-D11-006,Design System,D11,Experiência e Projeto,"Padroniza tokens, componentes, padrões e regras de experiência.",,D10; D15; D12
FW-D11-007,Nielsen Heuristics,D11,Experiência e Projeto,Avalia interfaces segundo heurísticas clássicas de usabilidade.,,D10; D15; D12
FW-D11-008,Cognitive Walkthrough,D11,Experiência e Projeto,Avalia quão facilmente novos usuários conseguem completar tarefas.,,D10; D15; D12
FW-D11-009,HEART,D11,Experiência e Projeto,"Mede experiência por felicidade, engajamento, adoção, retenção e sucesso da tarefa.",,D10; D15; D12
FW-D11-010,SUS,D11,Experiência e Projeto,Mensura percepção de usabilidade por questionário padronizado.,,D10; D15; D12
FW-D11-011,WCAG Evaluation,D11,Experiência e Projeto,Verifica acessibilidade segundo princípios e critérios WCAG.,,D10; D15; D12
FW-D11-012,Information Architecture,D11,Experiência e Projeto,"Estrutura conteúdo, navegação, hierarquia, rótulos e encontrabilidade.",,D10; D15; D12
FW-D11-013,Card Sorting,D11,Experiência e Projeto,Testa como usuários agrupam e nomeiam conteúdos.,,D10; D15; D12
FW-D11-014,Tree Testing,D11,Experiência e Projeto,Avalia encontrabilidade dentro de uma estrutura hierárquica.,,D10; D15; D12
FW-D11-015,Empathy Map,D11,Experiência e Projeto,"Organiza percepções sobre pensamentos, sentimentos, comportamentos e contexto do usuário.",,D10; D15; D12
FW-D12-001,C4 Model,D12,Engenharia,"Representa arquitetura nos níveis de contexto, contêiner, componente e código.",,D10; D05; D18; D20
FW-D12-002,arc42,D12,Engenharia,Estrutura documentação arquitetural em seções padronizadas.,,D10; D05; D18; D20
FW-D12-003,Domain-Driven Design,D12,Engenharia,"Modela software segundo domínios, linguagem ubíqua e contextos delimitados.",,D10; D05; D18; D20
FW-D12-004,Event Storming,D12,Engenharia,"Descobre processos e domínios por eventos, comandos, atores e políticas.",,D10; D05; D18; D20
FW-D12-005,Clean Architecture,D12,Engenharia,Separa regras de negócio de detalhes tecnológicos.,,D10; D05; D18; D20
FW-D12-006,Hexagonal Architecture,D12,Engenharia,Isola domínio por portas e adaptadores.,,D10; D05; D18; D20
FW-D12-007,API-First,D12,Engenharia,Define interfaces e contratos antes da implementação.,,D10; D05; D18; D20
FW-D12-008,Twelve-Factor App,D12,Engenharia,Reúne princípios para aplicações portáveis e operáveis em ambientes cloud.,,D10; D05; D18; D20
FW-D12-009,SRE,D12,Engenharia,Aplica práticas de engenharia à confiabilidade operacional de sistemas.,,D10; D05; D18; D20
FW-D12-010,DORA Metrics,D12,Engenharia,"Mede frequência de deploy, lead time, falhas e recuperação.",,D10; D05; D18; D20
FW-D12-011,CALMS,D12,Engenharia,"Avalia DevOps por cultura, automação, lean, medição e compartilhamento.",,D10; D05; D18; D20
FW-D12-012,STRIDE,D12,Engenharia,Classifica ameaças de segurança por seis categorias.,,D10; D05; D18; D20
FW-D12-013,Threat Modeling,D12,Engenharia,"Identifica ativos, ameaças, superfícies de ataque e mitigações.",,D10; D05; D18; D20
FW-D12-014,OWASP,D12,Engenharia,Organiza riscos e controles relevantes à segurança de aplicações.,,D10; D05; D18; D20
FW-D12-015,CIA Triad,D12,Engenharia,"Estrutura segurança em confidencialidade, integridade e disponibilidade.",,D10; D05; D18; D20
FW-D12-016,Fault Tree Analysis,D12,Engenharia,Modela combinações de falhas capazes de produzir um evento indesejado.,,D10; D05; D18; D20
FW-D12-017,Verification & Validation Matrix,D12,Engenharia,Relaciona requisitos às evidências de verificação e validação.,,D10; D05; D18; D20
FW-D12-018,Requirement Traceability Matrix,D12,Engenharia,Rastreia requisitos desde origem até implementação e testes.,RTM,D10; D05; D18; D20
FW-D13-001,TAM/SAM/SOM,D13,Mercado e Geração de Demanda,"Dimensiona mercado total, mercado atendível e parcela realisticamente alcançável.",TAM; SAM; SOM,D01; D10; D14; D16
FW-D13-002,Top-Down Market Sizing,D13,Mercado e Geração de Demanda,Estima mercado partindo de dados agregados.,,D01; D10; D14; D16
FW-D13-003,Bottom-Up Market Sizing,D13,Mercado e Geração de Demanda,"Estima mercado usando unidades, preços e volumes observáveis.",,D01; D10; D14; D16
FW-D13-004,Market Segmentation,D13,Mercado e Geração de Demanda,Divide mercado em grupos com características e necessidades semelhantes.,,D01; D10; D14; D16
FW-D13-005,ICP,D13,Mercado e Geração de Demanda,Define características do cliente com maior aderência econômica e estratégica.,,D01; D10; D14; D16
FW-D13-006,Buyer Persona,D13,Mercado e Geração de Demanda,"Representa padrões de contexto, comportamento, objetivos e decisão do comprador.",,D01; D10; D14; D16
FW-D13-007,Customer Development,D13,Mercado e Geração de Demanda,"Valida problema, cliente, solução e modelo de crescimento diretamente no mercado.",,D01; D10; D14; D16
FW-D13-008,STP,D13,Mercado e Geração de Demanda,"Estrutura segmentação, targeting e posicionamento.",,D01; D10; D14; D16
FW-D13-009,4Ps,D13,Mercado e Geração de Demanda,"Analisa produto, preço, praça e promoção.",,D01; D10; D14; D16
FW-D13-010,7Ps,D13,Mercado e Geração de Demanda,"Expande marketing mix com pessoas, processos e evidências físicas.",,D01; D10; D14; D16
FW-D13-011,Brand Positioning,D13,Mercado e Geração de Demanda,Define espaço desejado da marca na percepção do público.,,D01; D10; D14; D16
FW-D13-012,Brand Pyramid,D13,Mercado e Geração de Demanda,"Organiza atributos, benefícios, valores e essência da marca.",,D01; D10; D14; D16
FW-D13-013,AARRR,D13,Mercado e Geração de Demanda,"Mede aquisição, ativação, retenção, receita e referência.",,D01; D10; D14; D16
FW-D13-014,Growth Loops,D13,Mercado e Geração de Demanda,Modela mecanismos em que outputs de crescimento alimentam novas entradas.,,D01; D10; D14; D16
FW-D13-015,Growth Flywheel,D13,Mercado e Geração de Demanda,Representa forças acumulativas que aumentam crescimento com menor fricção.,,D01; D10; D14; D16
FW-D13-016,Funnel Analysis,D13,Mercado e Geração de Demanda,Mede progressão e perdas entre etapas de conversão.,,D01; D10; D14; D16
FW-D13-017,Van Westendorp,D13,Mercado e Geração de Demanda,"Investiga percepção de preço aceitável, caro, barato e excessivo.",,D01; D10; D14; D16
FW-D13-018,Gabor-Granger,D13,Mercado e Geração de Demanda,Mede intenção de compra em diferentes níveis de preço.,,D01; D10; D14; D16
FW-D13-019,Willingness to Pay,D13,Mercado e Geração de Demanda,Estima o valor máximo percebido como aceitável pelo cliente.,,D01; D10; D14; D16
FW-D13-020,Messaging House,D13,Mercado e Geração de Demanda,"Organiza mensagem principal, pilares de suporte e provas.",,D01; D10; D14; D16
FW-D14-001,Sales Funnel,D14,Vendas,Estrutura progressão comercial desde oportunidade até fechamento.,,D13; D15; D03
FW-D14-002,MEDDIC,D14,Vendas,"Qualifica negócios por métricas, comprador econômico, critérios, processo, dor e champion.",,D13; D15; D03
